id,nome,posição,idade,data_nascimento,nacionalidade,time,liga,total_jogos,jogos_escalados,minutos_jogados,gols_sofridos,defesas,gols,assistências,total_chutes,chutes_no_gol,dribles_tentados,dribles_realizados,total_passes,passes_chaves,índice_passes_certos,desarmes,faltas_sofridas,faltas_cometidas
10012,Douglas Friedrich,Goalkeeper,33,12/12/1988,Brazil,Bahia,Brasileiro Série A,26,26,2273,39,61,0,0,0,0,0,0,424,0,17,0,5,0
197051,Matheus Bahia,Defender,22,11/08/1999,Brazil,Bahia,Brasileiro Série A,9,9,730,0,0,0,1,6,2,20,13,261,11,23,23,14,15
10015,Nino Paraíba,Defender,35,10/01/1986,Brazil,Bahia,Brasileiro Série A,28,24,2179,0,0,1,3,15,5,43,20,800,23,28,46,31,37
10376,Zeca,Defender,27,16/05/1994,Brazil,Bahia,Brasileiro Série A,9,4,420,0,0,1,0,5,2,2,2,226,4,49,1,1,3
10481,Juninho Capixaba,Defender,24,06/07/1997,Brazil,Bahia,Brasileiro Série A,22,19,1736,0,0,0,5,11,3,42,26,908,33,40,47,30,22
9912,Juninho,Defender,26,01/02/1995,Brazil,Bahia,Brasileiro Série A,26,25,2294,0,0,2,0,12,4,7,6,975,3,41,26,10,6
10022,Ernando,Defender,33,17/04/1988,Brazil,Bahia,Brasileiro Série A,23,23,2049,0,0,1,1,12,7,9,5,870,8,41,15,5,17
10024,Lucas Fonseca,Defender,36,02/08/1985,Brazil,Bahia,Brasileiro Série A,12,12,998,0,0,0,0,2,1,2,2,392,1,31,9,5,8
9953,Anderson Martins,Defender,34,21/08/1987,Brazil,Bahia,Brasileiro Série A,7,5,450,0,0,1,0,4,1,4,3,240,2,35,2,2,8
10094,Rodriguinho,Midfielder,33,27/03/1988,Brazil,Bahia,Brasileiro Série A,21,15,1195,0,0,4,1,24,15,32,20,353,13,25,10,30,18
64032,Edson,Midfielder,23,24/04/1998,Brazil,Bahia,Brasileiro Série A,12,7,501,0,0,0,0,2,0,5,3,215,2,14,13,14,6
10167,Ronaldo,Midfielder,25,23/10/1996,Brazil,Bahia,Brasileiro Série A,19,15,1356,0,0,0,1,8,2,12,8,636,5,43,46,12,31
10031,Gregore,Midfielder,27,02/03/1994,Brazil,Bahia,Brasileiro Série A,26,26,2247,0,0,0,3,16,5,37,30,1429,21,54,58,19,78
9888,Elias,Midfielder,36,16/05/1985,Brazil,Bahia,Brasileiro Série A,11,9,792,0,0,0,0,7,0,8,4,387,5,29,16,10,18
80537,Fessin,Midfielder,22,04/01/1999,Brazil,Bahia,Brasileiro Série A,17,9,734,0,0,1,0,11,8,21,13,179,9,9,11,10,9
13302,J. Ramírez,Midfielder,24,26/11/1997,Colombia,Bahia,Brasileiro Série A,7,7,548,0,0,2,1,8,3,36,28,227,5,27,7,16,14
10035,Marco Antonio,Midfielder,24,01/10/1997,Brazil,Bahia,Brasileiro Série A,18,2,408,0,0,1,2,6,3,13,8,134,16,15,7,24,10
10320,Daniel,Midfielder,25,11/01/1996,Brazil,Bahia,Brasileiro Série A,24,14,1377,0,0,3,2,14,8,23,18,887,47,42,12,36,16
10258,Clayson Henrique da Silva Vieira,Attacker,26,19/03/1995,Brazil,Bahia,Brasileiro Série A,21,6,733,0,0,3,1,18,8,37,23,289,19,23,12,16,18
10041,Gilberto,Attacker,32,05/06/1989,Brazil,Bahia,Brasileiro Série A,27,24,1856,0,0,7,1,61,30,23,14,316,13,15,13,43,33
10578,Rosicley Pereira da Silva,Attacker,28,22/04/1993,Brazil,Bahia,Brasileiro Série A,28,14,1556,0,0,2,2,19,9,35,18,375,22,19,15,32,20
10042,José Elber Pimentel da Silva,Attacker,29,27/05/1992,Brazil,Bahia,Brasileiro Série A,22,17,1430,0,0,3,2,29,16,53,39,599,30,38,6,40,10
197059,Saldanha,Attacker,22,18/08/1999,Brazil,Bahia,Brasileiro Série A,17,0,361,0,0,2,0,13,4,23,14,70,3,25,1,10,12
47577,D. Musto,Midfielder,33,09/06/1987,Argentina,Internacional,Brasileiro Série A,14,6,629,0,0,1,0,3,1,2,2,451,4,51,13,13,24
10391,Andrés Nicolás D'Alessandro,Midfielder,40,15/04/1981,Argentina,Internacional,Brasileiro Série A,20,4,529,0,0,0,0,5,3,7,7,379,16,27,8,11,5
10372,Marcelo Lomba,Goalkeeper,35,18/12/1986,Brazil,Internacional,Brasileiro Série A,31,31,2788,29,57,0,0,0,0,1,1,707,0,22,1,2,0
10013,Moisés,Defender,26,11/03/1995,Brazil,Internacional,Brasileiro Série A,21,19,1724,0,0,0,4,7,1,31,18,722,18,42,41,10,47
10377,V. Cuesta,Defender,33,19/11/1988,Argentina,Internacional,Brasileiro Série A,30,30,2682,0,0,1,1,7,2,16,12,1465,4,49,31,27,35
10378,Rodrigo Moledo,Defender,34,27/10/1987,Brazil,Internacional,Brasileiro Série A,18,10,952,0,0,1,0,3,1,3,3,453,1,34,16,24,14
10157,Rodinei Marcelo de Almeida,Defender,29,29/01/1992,Brazil,Internacional,Brasileiro Série A,18,15,1402,0,0,0,1,3,2,32,22,531,13,28,30,18,26
10382,Uendel,Defender,33,08/10/1988,Brazil,Internacional,Brasileiro Série A,13,12,1049,0,0,0,1,3,1,13,8,493,16,31,12,5,19
712,Lucas Ribeiro,Defender,22,19/01/1999,Brazil,Internacional,Brasileiro Série A,7,5,455,0,0,0,0,2,1,5,5,179,0,21,2,4,5
10384,Heitor,Defender,21,05/11/2000,Brazil,Internacional,Brasileiro Série A,10,9,763,0,0,0,4,3,2,7,6,319,11,25,23,13,12
2470,R. Saravia,Defender,28,16/06/1993,Argentina,Internacional,Brasileiro Série A,8,8,720,0,0,0,1,2,1,10,7,263,5,62,20,13,11
10387,Edenílson,Midfielder,32,18/12/1989,Brazil,Internacional,Brasileiro Série A,27,25,2245,0,0,4,5,24,10,37,22,1044,29,43,32,29,36
10388,Patrick,Midfielder,29,29/07/1992,Brazil,Internacional,Brasileiro Série A,28,27,2208,0,0,4,4,25,9,113,67,705,20,34,62,65,40
21093,Boschilia,Midfielder,25,05/03/1996,Brazil,Internacional,Brasileiro Série A,13,9,857,0,0,1,1,16,9,14,10,360,8,38,16,12,23
197533,Bruno Praxedes,Midfielder,19,08/02/2002,Brazil,Internacional,Brasileiro Série A,16,12,843,0,0,1,0,10,2,20,11,397,12,28,22,15,27
133185,J. Cardoso,Midfielder,20,20/09/2001,USA,Internacional,Brasileiro Série A,9,5,420,0,0,0,0,3,1,6,3,262,1,28,9,7,3
125677,José Gabriel,Midfielder,22,21/01/1999,Brazil,Internacional,Brasileiro Série A,20,16,1457,0,0,0,0,1,0,12,8,869,2,46,29,15,19
10393,Rodrigo Dourado Cunha,Midfielder,27,17/06/1994,Brazil,Internacional,Brasileiro Série A,14,10,884,0,0,2,1,5,3,2,1,395,5,24,22,15,18
80166,Thiago Galhardo,Midfielder,32,20/07/1989,Brazil,Internacional,Brasileiro Série A,26,20,1804,0,0,16,5,57,33,29,12,369,18,25,14,40,23
10395,Rodrigo Lindoso,Midfielder,32,06/06/1989,Brazil,Internacional,Brasileiro Série A,26,14,1456,0,0,0,1,8,4,4,4,996,15,44,25,14,34
10396,Nonato,Midfielder,23,03/03/1998,Brazil,Internacional,Brasileiro Série A,9,4,390,0,0,1,0,4,2,4,2,183,4,17,14,14,14
44492,Marcos Guilherme de Almeida Santos Matos,Attacker,26,05/08/1995,Brazil,Internacional,Brasileiro Série A,25,15,1154,0,0,0,1,9,4,8,3,402,16,34,20,11,22
844,A. Hernández,Attacker,31,08/08/1990,Uruguay,Internacional,Brasileiro Série A,19,10,865,0,0,3,1,16,9,5,2,150,8,5,9,10,13
10007,Yuri Alberto,Attacker,20,18/03/2001,Brazil,Internacional,Brasileiro Série A,17,8,798,0,0,10,1,36,23,12,7,173,12,9,3,15,32
279797,Caio,Attacker,21,04/11/2000,Brazil,Internacional,Brasileiro Série A,8,7,502,0,0,2,0,7,4,18,7,95,2,8,2,32,14
10077,Luis Henrique Tomaz de Lima,Attacker,20,14/12/2001,Brazil,Botafogo,Brasileiro Série A,5,5,410,0,0,0,0,11,7,16,10,78,7,59,0,4,1
10045,Diego Cavalieri,Goalkeeper,39,01/12/1982,Brazil,Botafogo,Brasileiro Série A,21,21,1890,38,62,0,0,0,0,0,0,460,0,15,0,1,2
2497,R. Fernández,Goalkeeper,33,29/03/1988,Paraguay,Botafogo,Brasileiro Série A,8,8,720,7,35,0,0,0,0,0,0,152,0,46,0,0,0
51767,F. Barrandeguy,Defender,25,08/05/1996,Uruguay,Botafogo,Brasileiro Série A,13,4,543,0,0,0,0,1,0,11,7,234,5,37,5,9,8
9907,Victor Luis,Defender,28,23/06/1993,Brazil,Botafogo,Brasileiro Série A,25,25,2132,0,0,2,1,18,8,25,18,971,34,36,47,28,20
10052,Marcelo Benevenuto,Defender,25,07/01/1996,Brazil,Botafogo,Brasileiro Série A,27,27,2330,0,0,1,1,17,4,10,9,1205,5,49,27,16,27
146378,Warley,Defender,22,17/09/1999,Brazil,Botafogo,Brasileiro Série A,12,6,454,0,0,1,0,5,2,12,6,125,3,10,0,11,15
10338,Kevin,Defender,24,07/09/1997,Brazil,Botafogo,Brasileiro Série A,27,25,2048,0,0,0,1,9,4,31,23,1061,34,34,50,23,32
1058,Rafael Forster,Defender,31,23/07/1990,Brazil,Botafogo,Brasileiro Série A,21,18,1485,0,0,0,0,8,1,21,11,732,9,43,22,18,21
9418,Guilherme Santos,Defender,33,05/02/1988,Brazil,Botafogo,Brasileiro Série A,12,8,731,0,0,0,1,6,1,13,8,239,7,43,12,10,17
10059,Kanu,Defender,24,07/03/1997,Brazil,Botafogo,Brasileiro Série A,31,31,2790,0,0,0,1,11,2,12,10,1470,4,50,32,30,30
9882,José Welison,Midfielder,26,11/03/1995,Brazil,Botafogo,Brasileiro Série A,14,13,995,0,0,0,1,5,0,19,11,473,9,28,24,12,20
10064,Rhuan,Midfielder,21,25/01/2000,Brazil,Botafogo,Brasileiro Série A,23,11,972,0,0,0,1,18,4,40,22,181,13,16,5,27,5
6857,K. Honda,Midfielder,35,13/06/1986,Japan,Botafogo,Brasileiro Série A,18,15,1294,0,0,2,0,18,7,17,11,691,27,42,24,12,24
25352,S. Kalou,Midfielder,36,05/08/1985,Côte d'Ivoire,Botafogo,Brasileiro Série A,23,11,1074,0,0,1,0,22,9,33,13,312,16,10,9,19,17
13369,C. Rentería,Midfielder,26,05/07/1995,Colombia,Botafogo,Brasileiro Série A,10,6,496,0,0,0,0,3,2,4,1,155,1,14,11,6,13
180236,Caio Alexandre,Midfielder,22,24/02/1999,Brazil,Botafogo,Brasileiro Série A,30,29,2384,0,0,4,0,24,9,29,16,1162,26,42,42,54,55
159718,Matheus Babi,Attacker,24,18/07/1997,Brazil,Botafogo,Brasileiro Série A,29,20,1999,0,0,7,1,38,16,32,18,363,19,19,18,64,63
10144,Bruno Nazário,Attacker,26,09/02/1995,Brazil,Botafogo,Brasileiro Série A,24,21,1729,0,0,1,2,27,10,38,25,635,37,33,35,37,32
9329,Pedro Raul,Attacker,25,05/11/1996,Brazil,Botafogo,Brasileiro Série A,25,19,1744,0,0,7,1,53,27,41,15,405,16,17,17,30,36
12788,Ramires,Midfielder,33,24/03/1987,Brazil,Palmeiras,Brasileiro Série A,16,4,548,0,0,0,0,4,2,7,6,279,2,34,19,9,13
9921,Bruno Henrique Corsini,Midfielder,32,21/10/1989,Brazil,Palmeiras,Brasileiro Série A,13,7,629,0,0,0,0,10,3,7,6,414,10,50,11,7,17
9902,Jaílson,Goalkeeper,40,20/07/1981,Brazil,Palmeiras,Brasileiro Série A,5,5,450,7,10,0,0,0,0,0,0,102,0,25,0,1,0
2410,Weverton,Goalkeeper,34,13/12/1987,Brazil,Palmeiras,Brasileiro Série A,26,26,2340,23,80,0,0,0,0,0,0,683,1,26,0,0,0
